,amenity_type,coordinates,county
162,Restaurant,"(-97.0343757, 28.0630998)",Aransas
163,Restaurant,"(-97.05992244106501, 28.023719579678936)",Aransas
164,Restaurant,"(-97.04196647612687, 28.054842151252082)",Aransas
165,Restaurant,"(-97.05831988528594, 28.022074866551023)",Aransas
166,Restaurant,"(-97.04288169491382, 28.044250580254317)",Aransas
167,Restaurant,"(-97.0429139016348, 28.042722158827512)",Aransas
168,Restaurant,"(-97.04287689261601, 28.040425246650205)",Aransas
169,Restaurant,"(-97.04303524737801, 28.03617289051028)",Aransas
170,Restaurant,"(-97.04205052550722, 28.036798368551317)",Aransas
171,Fire_station,"(-97.0370325, 28.0734988)",Aransas
172,Fire_station,"(-97.0510793, 28.0255248)",Aransas
173,Fire_station,"(-97.056036, 28.0251359)",Aransas
174,Fire_station,"(-97.0562463581849, 28.025095974807027)",Aransas
272,Hospital,"(-97.13660872582773, 30.004205669462653)",Bastrop
273,Hospital,"(-97.29204793232523, 30.10341994344349)",Bastrop
274,Hospital,"(-97.34490039935856, 30.108455181944144)",Bastrop
275,Restaurant,"(-97.5849554, 30.1100218)",Bastrop
276,Restaurant,"(-97.5021607, 30.0859914)",Bastrop
277,Restaurant,"(-97.3834266, 30.3483842)",Bastrop
278,Restaurant,"(-97.3696924, 30.3463718)",Bastrop
279,Restaurant,"(-97.3707872, 30.3453189)",Bastrop
280,Restaurant,"(-97.4214972, 30.1165503)",Bastrop
281,Restaurant,"(-97.3572045, 30.1075966)",Bastrop
282,Restaurant,"(-97.1611068, 30.0071642)",Bastrop
283,Restaurant,"(-97.3850181, 30.3515221)",Bastrop
284,Restaurant,"(-97.3716735, 30.3365683)",Bastrop
285,Restaurant,"(-97.3716009, 30.3365406)",Bastrop
286,Restaurant,"(-97.3733028, 30.3371328)",Bastrop
287,Restaurant,"(-97.3707037, 30.3488521)",Bastrop
288,Restaurant,"(-97.3538423, 30.1130865)",Bastrop
289,Restaurant,"(-97.352391, 30.113042)",Bastrop
290,Restaurant,"(-97.3497492, 30.1099019)",Bastrop
291,Restaurant,"(-97.3341194, 30.1058342)",Bastrop
292,Restaurant,"(-97.3297994, 30.1024288)",Bastrop
293,Restaurant,"(-97.3303054, 30.1026011)",Bastrop
294,Restaurant,"(-97.3298497, 30.1046535)",Bastrop
295,Restaurant,"(-97.3302477, 30.1038862)",Bastrop
296,Restaurant,"(-97.3302191, 30.1042913)",Bastrop
297,Restaurant,"(-97.3276589, 30.1061854)",Bastrop
298,Restaurant,"(-97.3702513, 30.3451119)",Bastrop
299,Restaurant,"(-97.3705828, 30.3459244)",Bastrop
300,Restaurant,"(-97.38632305755449, 30.349649994608484)",Bastrop
301,Restaurant,"(-97.3759520925996, 30.34155124188454)",Bastrop
302,Restaurant,"(-97.37021399858278, 30.33683811264235)",Bastrop
303,Restaurant,"(-97.34989078412964, 30.109935979518905)",Bastrop
304,Restaurant,"(-97.44714660922702, 29.958387648821226)",Bastrop
305,Restaurant,"(-97.31677994961436, 30.1055132804807)",Bastrop
306,Restaurant,"(-97.32673711505475, 30.105391826121153)",Bastrop
307,Restaurant,"(-97.32516846063874, 30.105543275222125)",Bastrop
308,Restaurant,"(-97.32658880150936, 30.104246885633042)",Bastrop
309,Restaurant,"(-97.30956693049842, 30.110425841618767)",Bastrop
310,Restaurant,"(-97.31948964804899, 30.109622972492662)",Bastrop
311,Restaurant,"(-97.34167399706291, 30.108730282786443)",Bastrop
312,Restaurant,"(-97.29361772323377, 30.111585657675906)",Bastrop
313,Restaurant,"(-97.1239811, 30.214454399999997)",Bastrop
314,Restaurant,"(-97.36970718026961, 30.34680580809749)",Bastrop
315,Restaurant,"(-97.31972362162213, 30.109251046893036)",Bastrop
316,Restaurant,"(-97.32101348763263, 30.109757605477295)",Bastrop
317,Restaurant,"(-97.32025921746875, 30.11103262202943)",Bastrop
318,Restaurant,"(-97.32028126332851, 30.110724565403046)",Bastrop
319,Restaurant,"(-97.3197296676789, 30.11041613391408)",Bastrop
320,Restaurant,"(-97.33295064454275, 30.107113927277304)",Bastrop
321,Restaurant,"(-97.35555503257558, 30.110327456575998)",Bastrop
322,Restaurant,"(-97.2933629018489, 30.111677690278675)",Bastrop
323,Restaurant,"(-97.4156024, 30.1113273)",Bastrop
324,Restaurant,"(-97.4313687, 30.120856)",Bastrop
325,Restaurant,"(-97.5261884, 30.1757794)",Bastrop
326,Restaurant,"(-97.1378015, 30.006406)",Bastrop
327,Restaurant,"(-97.3538404, 30.1120547)",Bastrop
328,Restaurant,"(-97.3574883, 30.107656)",Bastrop
329,Restaurant,"(-97.3712892, 30.3384231)",Bastrop
330,Restaurant,"(-97.3421912, 30.1105192)",Bastrop
331,Restaurant,"(-97.1396797, 30.2134555)",Bastrop
332,Restaurant,"(-97.372967, 30.336979)",Bastrop
333,Restaurant,"(-97.3081509, 30.1100361)",Bastrop
334,Restaurant,"(-97.3538397, 30.1129244)",Bastrop
335,Restaurant,"(-97.3486013, 30.1105428)",Bastrop
336,Restaurant,"(-97.3325475, 30.1079892)",Bastrop
337,Restaurant,"(-97.3353752, 30.1047785)",Bastrop
338,Restaurant,"(-97.3296476, 30.1046145)",Bastrop
339,Restaurant,"(-97.3192568, 30.1108422)",Bastrop
340,Restaurant,"(-97.3193662, 30.1106607)",Bastrop
341,Restaurant,"(-97.3191669, 30.1106723)",Bastrop
342,Restaurant,"(-97.3191716, 30.1107564)",Bastrop
343,Restaurant,"(-97.35133978725494, 30.111883850199813)",Bastrop
344,Restaurant,"(-97.33101201015309, 30.10642444819855)",Bastrop
345,Restaurant,"(-97.33286074313453, 30.105626124679485)",Bastrop
346,Restaurant,"(-97.384290598557, 30.34948625214034)",Bastrop
347,Restaurant,"(-97.38359821001838, 30.347366003642588)",Bastrop
348,Restaurant,"(-97.38499935000002, 30.347633799999997)",Bastrop
349,Restaurant,"(-97.3852553349413, 30.348952871198026)",Bastrop
350,Restaurant,"(-97.38453405774652, 30.348289837140825)",Bastrop
351,Restaurant,"(-97.39121714999997, 30.351354899999997)",Bastrop
352,Restaurant,"(-97.38495787646498, 30.347221880858793)",Bastrop
353,Restaurant,"(-97.37248287712096, 30.337455443873427)",Bastrop
354,Restaurant,"(-97.34910393955498, 30.110494634340057)",Bastrop
355,Restaurant,"(-97.37560784051536, 30.34063526458613)",Bastrop
356,Restaurant,"(-97.41560021859681, 30.111340729212156)",Bastrop
357,Restaurant,"(-97.30902210687566, 30.104172448407795)",Bastrop
358,Restaurant,"(-97.3269649842267, 30.104252764262903)",Bastrop
359,Restaurant,"(-97.30884213536602, 30.105813849559073)",Bastrop
360,Restaurant,"(-97.33889773110978, 30.107839786907743)",Bastrop
361,Restaurant,"(-97.33520033225443, 30.10645090424387)",Bastrop
362,Restaurant,"(-97.33443599815148, 30.106318296494276)",Bastrop
363,Restaurant,"(-97.30632905775738, 30.11005418375662)",Bastrop
364,Restaurant,"(-97.31446988665823, 30.126085681995242)",Bastrop
365,Restaurant,"(-97.3143192, 30.128428499999995)",Bastrop
366,Restaurant,"(-97.35233839609285, 30.111963331726944)",Bastrop
367,Restaurant,"(-97.31420777479333, 30.110786309077632)",Bastrop
368,Restaurant,"(-97.39421732053539, 30.351397170558606)",Bastrop
369,Restaurant,"(-97.38244301286237, 30.34572245741517)",Bastrop
370,Restaurant,"(-97.33295993318866, 30.109274912362178)",Bastrop
371,Restaurant,"(-97.35497465766825, 30.110417211940632)",Bastrop
372,Restaurant,"(-97.32445462890054, 30.105549709036445)",Bastrop
373,Fire_station,"(-97.346968, 29.8862668)",Bastrop
374,Fire_station,"(-97.3717231077285, 30.34877740017656)",Bastrop
375,Fire_station,"(-97.16240460000002, 30.009327950000003)",Bastrop
376,Fire_station,"(-97.296871, 29.93168145)",Bastrop
377,Fire_station,"(-97.28710916847388, 30.100732168473137)",Bastrop
378,Fire_station,"(-97.31855770744205, 30.11084992470876)",Bastrop
379,Fire_station,"(-97.23653358238317, 30.28603282051083)",Bastrop
686,Hospital,"(-98.43843031195314, 29.34459822878309)",Bexar
687,Hospital,"(-98.45786596118113, 29.3544634565705)",Bexar
688,Hospital,"(-98.45388265037167, 29.355359364934337)",Bexar
689,Hospital,"(-98.45958048732763, 29.36112054902645)",Bexar
690,Hospital,"(-98.43828262295715, 29.60319195396964)",Bexar
691,Hospital,"(-98.44514630676126, 29.57654132580909)",Bexar
692,Hospital,"(-98.42881074857023, 29.519686058724613)",Bexar
693,Hospital,"(-98.34813083292538, 29.552786819569736)",Bexar
694,Hospital,"(-98.45486005710907, 29.680814546680764)",Bexar
695,Hospital,"(-98.41563919140006, 29.460643907057893)",Bexar
696,Hospital,"(-98.5330399, 29.3521004)",Bexar
697,Hospital,"(-98.5477659, 29.4027685)",Bexar
698,Hospital,"(-98.49912962434966, 29.42810532224468)",Bexar
699,Hospital,"(-98.5023821111395, 29.431064670424494)",Bexar
700,Hospital,"(-98.48948427506568, 29.425618998272824)",Bexar
