text,humAID_class,location_text,location_type,confidence,display_name,lat,lon,disaster_type
RT @000000000000 San Marcos River approaching major flooding at Luling. #harvey,caution_and_advice,San Marcos River,Natural Point-of-Interest,3,"San Marcos River, Guadalupe County, United States",29.6818635,-97.703829,Hurricane_harvey
RT @000000000000 San Marcos River approaching major flooding at Luling. #harvey,caution_and_advice,Luling,City/town,3,"Luling, Caldwell County, 78468, United States",29.680314,-97.6473265,Hurricane_harvey
"Days after #Harvey hit, homes in Brazoria County are still taking on water",infrastructure_and_utility_damage,Brazoria,County,3,"Brazoria County, United States",29.18161,-95.4993375,Hurricane_harvey
"#HurricaneHarvey approaching Victoria, TX, 9:00pm - youll notice theres someone out driving in this at the end @0000000",caution_and_advice,Victoria,City/town,3,"Victoria, Australia",-36.5986096,144.6780052,Hurricane_harvey
"#HurricaneHarvey approaching Victoria, TX, 9:00pm - youll notice theres someone out driving in this at the end @0000000",caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
.@USDOTFHWA will make $25 million in emergency relief available to Texas to repair damage from Hurricane #Harvey.,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
via @00000000000 83-year-old woman found dead in car #HurricaneHarvey #Texas,injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Hurricane Harvey: Police officer driving to work to help in Texas flood disaster now 1 of 18 confirmed dead in flood waters. #7News,injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Hurricane Harvey relief: New Orleans shirts benefit Texas food banks,rescue_volunteering_or_donation_effort,New Orleans,State,3,"New Orleans, Orleans Parish, Louisiana, United States",29.9759983,-90.0782127,Hurricane_harvey
Hurricane Harvey relief: New Orleans shirts benefit Texas food banks,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
The Alabama National Guard is joining Hurricane Harvey recovery efforts in Texas.,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"#Harvey makes its 2nd landfall (this time in Louisiana), 18 people dead, no rain in Houston last night for the 1st time in 5 days.",injured_or_dead_people,Louisiana,State,3,"Louisiana, United States",30.8703881,-92.007126,Hurricane_harvey
"#Harvey makes its 2nd landfall (this time in Louisiana), 18 people dead, no rain in Houston last night for the 1st time in 5 days.",injured_or_dead_people,Houston,State,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
"Tonight on Nightline, we’re with a Texas family with a baby on the way, fleeing their home under mandatory evacuation. #Harvey #HarveyFlood",displaced_people_and_evacuations,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"PHOTOS: Hurricane Harvey weakened to a tropical storm Saturday, but first caused flooding and destruction in Texas",infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Hurricane Harvey rolls over Texas coast, smashes homes and businesses #clippers #lac #NBA",infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Sunday August 27 - Todays Headlines: Hurricane Harvey brings heavy damage to Texas coast Via @00000000000000,infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
#Hurricane #Harvey has wrecked havoc in #Texas. More than 13000 people have been rescued and over 31 feared dead.#Indian #Student #RIP #news,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Hurricane Harvey leaves two people dead after the storm hits Texas.,injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Check for the latest Texas road conditions. DO NOT drive through flooded roads!! #Harvey #houwx #glswx #txwx,caution_and_advice,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
More evacuations as Hurricane Harvey bears down on Texas and gets stronger.,displaced_people_and_evacuations,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
⚠️‼️ Tornado Warning for Fort Bend and Waller Counties in TX until 2:30 AM CDT,caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Voluntary evacuation for western portions of Houston due to ongoing flooding. #alert #Harvey,displaced_people_and_evacuations,Houston,State,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
"Update: Per @00000 mandatory evacuations LIFTED for Northwood Pines subdivision, located in Northgate CRossing MUD No.1. #KHOU11 #Harvey",caution_and_advice,Northgate,State,3,"Northgate, Colerain Township, Hamilton County, Ohio, United States",39.25679175,-84.58988229991361,Hurricane_harvey
The confirmed death toll for #Harvey has jumped to 37. Helicopters are still pulling people out of flood waters in East Texas.,injured_or_dead_people,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
#PortArthur #JeffersonCounty faced floods from #HurricaneIke #HurricaneKatrina #HurricaneRita + didnt evacuate from #HurricaneHarvey ?,displaced_people_and_evacuations,JeffersonCounty,County,3,"Jefferson County, United States",29.834772,-94.1704496,Hurricane_harvey
"Tornado Warning Fort Bend Co, Tx until 5:45 am CDT Track it here: Download our app:",caution_and_advice,Tx,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Dogs displaced by Hurricane Harvey are being transported to New Jersey to find new homes.,displaced_people_and_evacuations,New Jersey,State,3,"New Jersey, United States",40.0757384,-74.4041622,Hurricane_harvey
"911 SITUATION In Brazoria County, residents are urged to evacuate NOW a massive levee breach. #HOUSTONFLOOD",displaced_people_and_evacuations,Brazoria County,County,3,"Brazoria County, United States",29.18161,-95.4993375,Hurricane_harvey
"The White House estimates #Harvey has affected around 100,000 Texas homes. 37,000 utility customers in Houston are still *without* power.",infrastructure_and_utility_damage,White House,Human-made Point-of-Interest,3,"White House, 1600, Pennsylvania Avenue Northwest, Washington, District of Columbia, 20500, United States",38.8976997,-77.03655315,Hurricane_harvey
"The White House estimates #Harvey has affected around 100,000 Texas homes. 37,000 utility customers in Houston are still *without* power.",infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"The White House estimates #Harvey has affected around 100,000 Texas homes. 37,000 utility customers in Houston are still *without* power.",infrastructure_and_utility_damage,Houston,City/town,3,"Houston, Harris County, Texas, United States",29.7589382,-95.3676974,Hurricane_harvey
Active water rescues underway in Friendswood. Were near Magnolia Creek #khou11 #harvey,rescue_volunteering_or_donation_effort,Magnolia Creek,Human-made Point-of-Interest,3,"Magnolia Creek, League City, Galveston County, 77573, United States",29.4744823,-95.1457612,Hurricane_harvey
Students will be collecting supplies for TX from 8 am-4 pm Wed & 8 am-Noon Thur in Winchester Center rotunda. #TheWesleyanWay #Harvey,rescue_volunteering_or_donation_effort,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Today I approved a request for @000000000000000 resources to be deployed to TX to assist with Hurricane Harvey emergency response efforts.,rescue_volunteering_or_donation_effort,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
"Texas: Jewish institutions report heavy water damage from Hurricane Harvey, Chabad delivers kosher food for Jews in evacuation shelters",infrastructure_and_utility_damage,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Our immigrant leaders in Texas have done donations to help the victims of #HurricaneHarvey! Our people are #HereToStay ✊️❤️,rescue_volunteering_or_donation_effort,Texas,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
Dangerous flooding continues to threaten #TX communities. Stay safe & remember: #TurnAroundDontDrown! Visit: #Harvey,caution_and_advice,TX,State,3,"Texas, United States",31.2638905,-98.5456116,Hurricane_harvey
